Time (s),Channel 1 (V),TIME
-0.048385,-1.07220165922441,0.0015
-0.0483725,-1.07595435319834,0.0015125
-0.04836,-1.08721243512013,0.001525
-0.0483475,-1.0834597411462,0.0015375
-0.048335,-1.09096512909406,0.00155
-0.0483225,-1.10597590498977,0.0015625
-0.04831,-1.1097285989637,0.001575
-0.0482975,-1.11348129293763,0.0015875
-0.048285,-1.13599745678121,0.0016
-0.0482725,-1.13975015075514,0.0016125
-0.04826,-1.14350284472907,0.001625
-0.0482475,-1.15100823267692,0.0016375
-0.048235,-1.15851362062478,0.00165
-0.0482225,-1.1735243965205,0.0016625
-0.04821,-1.18478247844229,0.001675
-0.0481975,-1.18478247844229,0.0016875
-0.048185,-1.199793254338,0.0017
-0.0481725,-1.20729864228586,0.0017125
-0.04816,-1.20729864228586,0.001725
-0.0481475,-1.21855672420765,0.0017375
-0.048135,-1.22230941818158,0.00175
-0.0481225,-1.23732019407729,0.0017625
-0.04811,-1.24107288805122,0.001775
-0.0480975,-1.24482558202515,0.0017875
-0.048085,-1.25983635792086,0.0018
-0.0480725,-1.25983635792087,0.0018125
-0.04806,-1.26734174586873,0.001825
-0.0480475,-1.27109443984266,0.0018375
-0.048035,-1.27859982779051,0.00185
-0.0480225,-1.27484713381659,0.0018625
-0.04801,-1.29736329766016,0.001875
-0.0479975,-1.30486868560802,0.0018875
-0.047985,-1.31237407355588,0.0019
-0.0479725,-1.32363215547766,0.0019125
-0.04796,-1.33489023739945,0.001925
-0.0479475,-1.33489023739945,0.0019375
-0.047935,-1.34614831932124,0.00195
-0.0479225,-1.3536537072691,0.0019625
-0.04791,-1.36491178919088,0.001975
-0.0478975,-1.36491178919088,0.0019875
-0.047885,-1.38367525906053,0.002
-0.0478725,-1.38742795303446,0.0020125
-0.04786,-1.4061914229041,0.002025
-0.0478475,-1.40243872893018,0.0020375
-0.047835,-1.40994411687803,0.00205
-0.0478225,-1.4061914229041,0.0020625
-0.04781,-1.42120219879982,0.002075
-0.0477975,-1.43996566866947,0.0020875
-0.047785,-1.43621297469554,0.0021
-0.0477725,-1.43621297469554,0.0021125
-0.04776,-1.44747105661732,0.002125
-0.0477475,-1.44747105661732,0.0021375
-0.047735,-1.4437183626434,0.00215
-0.0477225,-1.45872913853911,0.0021625
-0.04771,-1.46248183251304,0.002175
-0.0476975,-1.4699872204609,0.0021875
-0.047685,-1.48124530238269,0.0022
-0.0476725,-1.49250338430447,0.0022125
-0.04766,-1.50376146622626,0.002225
-0.0476475,-1.50376146622626,0.0022375
-0.047635,-1.53003032404377,0.00225
-0.0476225,-1.53378301801769,0.0022625
-0.04761,-1.53753571199162,0.002275
-0.0475975,-1.54504109993948,0.0022875
-0.047585,-1.54128840596555,0.0023
-0.0475725,-1.56755726378306,0.0023125
-0.04756,-1.57506265173092,0.002325
-0.0475475,-1.56755726378306,0.0023375
-0.047535,-1.5600518758352,0.00235
-0.0475225,-1.58256803967876,0.0023625
-0.04751,-1.59382612160056,0.002375
-0.0474975,-1.5863207336527,0.0023875
-0.047485,-1.60883689749628,0.0024
-0.0474725,-1.60883689749628,0.0024125
-0.04746,-1.62009497941806,0.002425
-0.0474475,-1.63135306133985,0.0024375
-0.047435,-1.62760036736592,0.00245
-0.0474225,-1.63885844928771,0.0024625
-0.04741,-1.64261114326164,0.002475
-0.0473975,-1.65386922518342,0.0024875
-0.047385,-1.65386922518343,0.0025
-0.0473725,-1.65762191915736,0.0025125
-0.04736,-1.66512730710521,0.002525
-0.0473475,-1.68013808300093,0.0025375
