time	V(out)	V(n003)
3.934998275112948e-002	5.069456e-001	-1.013963e-002
3.964295150112949e-002	2.798617e-001	-5.596751e-003
3.993592025112949e-002	5.040872e-002	-1.006494e-003
4.022888900112950e-002	-1.794710e-001	3.592282e-003
4.052185775112950e-002	-4.078315e-001	8.160650e-003
4.081482650112950e-002	-6.327397e-001	1.265994e-002
4.110779525112951e-002	-8.522916e-001	1.705205e-002
4.140076400112951e-002	-1.064629e+000	2.129982e-002
4.169373275112952e-002	-1.267954e+000	2.536729e-002
4.193089792970095e-002	-1.426632e+000	2.854159e-002
4.216806310827238e-002	-1.575490e+000	3.151943e-002
4.240522828684382e-002	-1.714528e+000	3.430082e-002
4.264239346541524e-002	-1.843747e+000	3.688575e-002
4.287955864398668e-002	-1.963145e+000	3.927423e-002
4.311672382255811e-002	-2.072724e+000	4.146625e-002
4.335388900112954e-002	-2.172482e+000	4.346181e-002
4.346006658854481e-002	-2.212632e+000	4.426395e-002
4.356624417596007e-002	-2.250203e+000	4.501492e-002
4.367242176337534e-002	-2.285196e+000	4.571470e-002
4.377859935079061e-002	-2.317611e+000	4.636332e-002
4.388477693820587e-002	-2.347447e+000	4.696075e-002
4.399095452562114e-002	-2.374705e+000	4.750701e-002
4.409713211303640e-002	-2.399386e+000	4.800210e-002
4.414120666363293e-002	-2.406635e+000	4.819130e-002
4.418528121422945e-002	-2.413180e+000	4.837118e-002
4.422935576482598e-002	-2.419020e+000	4.854176e-002
4.427343031542251e-002	-2.424157e+000	4.870302e-002
4.431750486601904e-002	-2.428589e+000	4.885497e-002
4.436157941661556e-002	-2.432316e+000	4.899760e-002
4.440565396721209e-002	-2.435339e+000	4.913093e-002
4.460096646721209e-002	-2.447072e+000	4.960763e-002
4.479627896721209e-002	-2.453588e+000	4.989763e-002
4.489393521721209e-002	-2.455176e+000	4.997224e-002
4.499159146721209e-002	-2.455756e+000	4.999983e-002
4.508924771721209e-002	-2.455340e+000	4.998035e-002
4.518690396721210e-002	-2.453920e+000	4.991383e-002
4.538221646721210e-002	-2.447845e+000	4.963997e-002
4.557752896721210e-002	-2.436612e+000	4.917928e-002
4.584176372730365e-002	-2.409340e+000	4.826185e-002
4.586907751692593e-002	-2.405051e+000	4.814791e-002
4.589639130654821e-002	-2.400287e+000	4.803044e-002
4.592370509617048e-002	-2.395050e+000	4.790946e-002
4.595101888579276e-002	-2.389338e+000	4.778495e-002
4.597833267541504e-002	-2.383152e+000	4.765692e-002
4.600564646503732e-002	-2.376491e+000	4.752537e-002
4.603296025465960e-002	-2.369356e+000	4.739029e-002
4.629378407847017e-002	-2.294143e+000	4.588927e-002
4.655460790228074e-002	-2.205338e+000	4.411548e-002
4.681543172609131e-002	-2.102940e+000	4.206892e-002
4.707625554990189e-002	-1.986950e+000	3.974960e-002
4.733707937371245e-002	-1.857367e+000	3.715751e-002
4.759790319752303e-002	-1.714192e+000	3.429265e-002
4.785872702133360e-002	-1.557425e+000	3.115503e-002
4.806799041419074e-002	-1.424066e+000	2.848708e-002
4.827725380704789e-002	-1.286103e+000	2.572705e-002
4.848651719990504e-002	-1.143537e+000	2.287492e-002
4.869578059276218e-002	-9.963670e-001	1.993071e-002
4.890504398561933e-002	-8.445934e-001	1.689441e-002
4.911430737847648e-002	-6.882162e-001	1.376601e-002
4.932357077133362e-002	-5.272354e-001	1.054553e-002
4.961653952133362e-002	-3.004600e-001	6.008825e-003
4.990950827133363e-002	-7.114109e-002	1.421249e-003
5.010482077133363e-002	8.219296e-002	-1.646223e-003
5.039778952133363e-002	3.114339e-001	-6.232212e-003
5.069075827133364e-002	5.380386e-001	-1.076544e-002
5.098372702133364e-002	7.600887e-001	-1.520754e-002
5.127669577133365e-002	9.757046e-001	-1.952091e-002
5.156966452133365e-002	1.183061e+000	-2.366903e-002
5.180682969990508e-002	1.345598e+000	-2.692054e-002
5.204399487847652e-002	1.498700e+000	-2.998329e-002
5.228116005704795e-002	1.642367e+000	-3.285727e-002
5.251832523561938e-002	1.776598e+000	-3.554248e-002
5.275549041419081e-002	1.901393e+000	-3.803893e-002
5.299265559276224e-002	2.016753e+000	-4.034662e-002
5.322982077133368e-002	2.122678e+000	-4.246553e-002
5.335364166676631e-002	2.172653e+000	-4.346316e-002
5.347746256219895e-002	2.219141e+000	-4.439178e-002
5.360128345763159e-002	2.262141e+000	-4.525137e-002
5.372510435306423e-002	2.301656e+000	-4.604196e-002
5.384892524849686e-002	2.337683e+000	-4.676352e-002
5.397274614392950e-002	2.370223e+000	-4.741608e-002
5.409656703936214e-002	2.399276e+000	-4.799961e-002
5.413175909092512e-002	2.405215e+000	-4.815151e-002
5.416695114248810e-002	2.410651e+000	-4.829747e-002
5.420214319405109e-002	2.415584e+000	-4.843752e-002
5.423733524561408e-002	2.420014e+000	-4.857164e-002
5.427252729717706e-002	2.423941e+000	-4.869983e-002
5.430771934874004e-002	2.427366e+000	-4.882210e-002
5.434291140030303e-002	2.430288e+000	-4.893844e-002
5.453020363327087e-002	2.443493e+000	-4.945641e-002
5.472551613327087e-002	2.451760e+000	-4.981422e-002
5.482317238327087e-002	2.454128e+000	-4.992287e-002
5.492082863327087e-002	2.455435e+000	-4.998453e-002
5.501848488327087e-002	2.455740e+000	-4.999916e-002
5.511614113327087e-002	2.455051e+000	-4.996672e-002
